flow_id,src_local_id,src_name,src_anchor_sat,src_latitude,src_longitude,dst_local_id,dst_name,dst_anchor_sat,dst_latitude,dst_longitude,distance_km,size_byte,start_time_ns
179,1,SatAnchor-0001-base,1,23.46706,-80.858409,61,SatAnchor-0061-base,61,34.327797,111.025572,13467.065,10000000,0
180,1,SatAnchor-0001-base,1,23.46706,-80.858409,62,SatAnchor-0062-base,62,50.456626,146.006591,10595.841,10000000,0
181,1,SatAnchor-0001-base,1,23.46706,-80.858409,63,SatAnchor-0063-base,63,50.456619,-165.941509,7680.819,10000000,0
182,1,SatAnchor-0001-base,1,23.46706,-80.858409,64,SatAnchor-0064-base,64,34.327783,-130.960504,4973.508,10000000,0
183,1,SatAnchor-0001-base,1,23.46706,-80.858409,65,SatAnchor-0065-base,65,11.852076,-109.072848,3247.731,10000000,0
184,1,SatAnchor-0001-base,1,23.46706,-80.858409,66,SatAnchor-0066-base,66,-12.003416,-90.741338,4088.049,10000000,0
185,1,SatAnchor-0001-base,1,23.46706,-80.858409,67,SatAnchor-0067-base,67,-34.423908,-68.85024,6560.969,10000000,0
186,1,SatAnchor-0001-base,1,23.46706,-80.858409,68,SatAnchor-0068-base,68,-50.473315,-33.917005,9424.257,10000000,0
187,1,SatAnchor-0001-base,1,23.46706,-80.858409,69,SatAnchor-0069-base,69,-50.473322,13.982031,12329.357,10000000,0
188,1,SatAnchor-0001-base,1,23.46706,-80.858409,70,SatAnchor-0070-base,70,-34.423925,48.915267,15030.131,10000000,0
189,1,SatAnchor-0001-base,1,23.46706,-80.858409,71,SatAnchor-0071-base,71,-12.003409,70.806399,16763.338,10000000,0
190,1,SatAnchor-0001-base,1,23.46706,-80.858409,72,SatAnchor-0072-base,72,-0.079355,115.972692,16842.406,10000000,0
191,1,SatAnchor-0001-base,1,23.46706,-80.858409,73,SatAnchor-0073-base,73,23.46706,135.141604,13507.519,10000000,0
192,1,SatAnchor-0001-base,1,23.46706,-80.858409,74,SatAnchor-0074-base,74,43.720669,162.180711,10168.985,10000000,0
193,1,SatAnchor-0001-base,1,23.46706,-80.858409,75,SatAnchor-0075-base,75,52.980825,-153.967449,6829.338,10000000,0
194,1,SatAnchor-0001-base,1,23.46706,-80.858409,76,SatAnchor-0076-base,76,43.720656,-110.115634,3490.906,10000000,0
195,1,SatAnchor-0001-base,1,23.46706,-80.858409,77,SatAnchor-0077-base,77,23.467053,-83.076533,226.242,10000000,0
196,1,SatAnchor-0001-base,1,23.46706,-80.858409,78,SatAnchor-0078-base,78,-0.079359,-63.907628,3194.749,10000000,0
197,1,SatAnchor-0001-base,1,23.46706,-80.858409,79,SatAnchor-0079-base,79,-23.596866,-44.735116,6526.697,10000000,0
198,1,SatAnchor-0001-base,1,23.46706,-80.858409,80,SatAnchor-0080-base,80,-43.775567,-17.704655,9857.145,10000000,0
199,1,SatAnchor-0001-base,1,23.46706,-80.858409,81,SatAnchor-0081-base,81,-52.980825,26.032511,13185.747,10000000,0
200,1,SatAnchor-0001-base,1,23.46706,-80.858409,82,SatAnchor-0082-base,82,-43.775577,69.769693,16513.144,10000000,0
201,1,SatAnchor-0001-base,1,23.46706,-80.858409,83,SatAnchor-0083-base,83,-23.596885,96.800159,19775.950,10000000,0
202,1,SatAnchor-0001-base,1,23.46706,-80.858409,84,SatAnchor-0084-base,84,11.852077,161.137891,12215.871,10000000,0
